Ticker,Date,Adj Close,Close,High,Low,Open,Volume,EMA20,EMA50,Volume_Avg20,RSI14,MACD,MACD_Signal,MACD_Hist,ADX14
ADVANC,2023-02-08 00:00:00,157.1984558,195.5,196.5,195,196,3769600,198.1691765,197.5356998,4147210,55.4583931,-0.41188413,0.206219414,-0.618103544,14.39425622
ADVANC,2023-02-09 00:00:00,160.4147797,199.5,201,194,195,11696300,198.2959216,197.6127312,4378095,63.17721075,-0.241912303,0.11659307,-0.358505373,14.68529495
ADVANC,2023-02-10 00:00:00,165.6413422,206,206,201,202,16099700,199.0296434,197.9416437,4986215,71.74574913,0.412531861,0.175780828,0.236751033,16.63322461
ADVANC,2023-02-13 00:00:00,168.857666,210,210,207,208,11095800,200.0744392,198.4145204,5356970,75.52076833,1.239660117,0.388556686,0.851103431,19.26640776
ADVANC,2023-02-14 00:00:00,167.2495117,208,211,206,211,8695700,200.8292545,198.7904216,5581075,70.45220752,1.714023734,0.653650096,1.060373639,21.7115064
ADVANC,2023-02-15 00:00:00,168.0535889,209,210,206,207,5605900,201.6074208,199.1907972,5670205,71.48278365,2.145915187,0.952103114,1.193812073,23.98195513
ADVANC,2023-02-16 00:00:00,169.6617737,211,212,208,209,6836200,202.5019521,199.6539032,5856240,73.47537812,2.619380967,1.285558685,1.333822283,26.45712459
ADVANC,2023-02-17 00:00:00,168.0535889,209,211,208,210,6406500,203.1208138,200.0204168,5958255,68.33340794,2.800935285,1.588634005,1.21230128,28.75549622
ADVANC,2023-02-20 00:00:00,168.0535889,209,210,207,208,5039600,203.6807363,200.3725573,6082915,68.33340794,2.911259206,1.853159045,1.058100161,30.20760732
ADVANC,2023-02-21 00:00:00,168.857666,210,211,208,210,6670500,204.282571,200.7501041,6299370,69.56836644,3.044290664,2.091385369,0.952905295,31.7774056
ADVANC,2023-02-22 00:00:00,170.6959381,208,208,206,206,5605500,204.6366118,201.0344137,6458040,64.17761524,2.954280658,2.263964427,0.690316231,31.97491706
ADVANC,2023-02-23 00:00:00,169.0546417,206,208,205,207,4638800,204.7664583,201.2291426,6469265,59.23454038,2.690548823,2.349281306,0.341267517,31.59368101
ADVANC,2023-02-24 00:00:00,164.951355,201,206,201,205,9418200,204.407748,201.2201566,6841440,49.06094979,2.054399393,2.290304923,-0.23590553,29.41269173
ADVANC,2023-02-27 00:00:00,164.1307068,200,201,198.5,201,7383600,203.9879625,201.1723073,6774480,47.31080395,1.452807681,2.122805475,-0.669997794,28.09997185
ADVANC,2023-02-28 00:00:00,165.7720184,202,203,200,201,5706700,203.7986327,201.2047659,6645925,51.07026694,1.12446309,1.923136998,-0.798673908,26.13971544
ADVANC,2023-03-01 00:00:00,165.7720184,202,204,201,202,7670600,203.6273344,201.2359515,6791485,51.07026694,0.85439866,1.70938933,-0.85499067,24.57022297
ADVANC,2023-03-02 00:00:00,165.7720184,202,203,200,202,5280500,203.4723501,201.2659142,6767795,51.07026694,0.633072982,1.494126061,-0.861053078,22.8826908
ADVANC,2023-03-03 00:00:00,166.5926819,203,203,200,203,4207500,203.4273644,201.3339176,6858110,53.15748812,0.532227247,1.301746298,-0.769519051,21.31569664
ADVANC,2023-03-07 00:00:00,167.4133148,204,205,202,204,7244400,203.4819011,201.4384698,7114715,55.21486655,0.526923867,1.146781812,-0.619857945,20.46249137
ADVANC,2023-03-08 00:00:00,167.4133148,204,204,201,201,6516900,203.5312439,201.538922,7279425,55.21486655,0.516763966,1.020778243,-0.504014276,19.26277815
ADVANC,2023-03-09 00:00:00,169.8752899,207,208,203,205,9662700,203.8616016,201.7530819,7574080,61.15148397,0.742231122,0.965068818,-0.222837696,19.41109974
ADVANC,2023-03-10 00:00:00,171.5165863,209,209,205,206,7456100,204.3509729,202.0372748,7362070,64.52739999,1.069964864,0.986048027,0.083916836,19.81327746
ADVANC,2023-03-13 00:00:00,165.7720184,202,210,201,210,11559700,204.1270707,202.035813,7135070,48.6065921,0.756138423,0.940066107,-0.183927683,18.68112477
ADVANC,2023-03-14 00:00:00,164.951355,201,207,200,200,13588700,203.8292544,201.9951929,7259715,46.82903805,0.421873965,0.836427678,-0.414553713,17.38606917
ADVANC,2023-03-15 00:00:00,168.2339783,205,207,201,203,8989900,203.940754,202.1130285,7274425,54.06528448,0.474266496,0.763995442,-0.289728946,16.18351754
ADVANC,2023-03-16 00:00:00,169.8752899,207,207,202,202,6964000,204.2321108,202.3046744,7342330,57.20160878,0.669454188,0.745087191,-0.075633003,15.06686246
ADVANC,2023-03-17 00:00:00,169.0546417,206,208,204,208,8668500,204.4004812,202.4495891,7433945,55.17316706,0.73497783,0.743065319,-0.008087489,14.32075841
ADVANC,2023-03-20 00:00:00,171.5165863,209,210,206,207,9315100,204.8385306,202.706468,7579375,59.78095023,1.017254441,0.797903143,0.219351298,14.30740593
ADVANC,2023-03-21 00:00:00,175.6198578,214,215,208,210,13701400,205.7110515,203.1493516,8012465,66.04543773,1.625679086,0.963458332,0.662220754,15.59327415
ADVANC,2023-03-22 00:00:00,175.6198578,214,214,211,214,9118200,206.5004752,203.5748672,8134850,66.04543773,2.083838803,1.187534426,0.896304377,16.78729464
ADVANC,2023-03-23 00:00:00,174.7992096,213,215,211,214,6941000,207.1194775,203.9444803,8201625,63.74249999,2.339276316,1.417882804,0.921393512,18.12231113
ADVANC,2023-03-24 00:00:00,174.7992096,213,215,212,215,5702200,207.6795273,204.2995987,8254795,63.74249999,2.512747003,1.636855644,0.875891359,19.36196929
ADVANC,2023-03-27 00:00:00,173.9785461,212,213,210,213,4282400,208.0910009,204.6015752,7998005,61.26495879,2.540249711,1.817534457,0.722715254,19.5654608
ADVANC,2023-03-28 00:00:00,175.6198578,214,214,211,213,3294600,208.6537627,204.9701409,7793555,64.2571901,2.692392862,1.992506138,0.699886724,20.03272407
ADVANC,2023-03-29 00:00:00,173.9785461,212,214,211,214,4271200,208.972452,205.2458216,7721780,59.3221288,2.621366637,2.118278238,0.503088399,20.4666114
ADVANC,2023-03-30 00:00:00,173.1579132,211,213,211,212,4399900,209.1655518,205.4714757,7558245,56.96630107,2.456074106,2.185837412,0.270236695,20.86950677
ADVANC,2023-03-31 00:00:00,173.9785461,212,213,211,212,3142700,209.4354992,205.7274963,7451355,58.73125256,2.378354042,2.224340738,0.154013305,21.2436239
ADVANC,2023-04-03 00:00:00,174.7992096,213,213,211,213,2613000,209.7749755,206.0126925,7371630,60.47691249,2.370130584,2.253498707,0.116631877,21.59101838
ADVANC,2023-04-04 00:00:00,174.7992096,213,214,211,213,4915800,210.0821207,206.2867045,7255200,60.47691249,2.336677669,2.2701345,0.066543169,22.2706349
ADVANC,2023-04-05 00:00:00,171.5165863,209,213,209,213,4477700,209.9790616,206.3931083,7153240,50.55621387,1.964750996,2.209057799,-0.244306803,21.71080656
ADVANC,2023-04-07 00:00:00,172.3372498,210,210,206,207,3624200,209.9810557,206.534555,6851315,52.64753133,1.730737209,2.113393681,-0.382656472,20.52206942
ADVANC,2023-04-10 00:00:00,173.9785461,212,213,209,211,4216300,210.1733361,206.7488862,6689325,56.60120311,1.687213732,2.028157691,-0.340943959,19.8579443
ADVANC,2023-04-11 00:00:00,174.7992096,213,213,211,212,3171200,210.4425422,206.9940279,6269900,58.46840502,1.713658715,1.965257896,-0.251599181,19.24125669
ADVANC,2023-04-12 00:00:00,173.1579132,211,214,210,213,3786300,210.4956334,207.1511249,5779780,53.50977821,1.555304685,1.883267254,-0.327962568,18.66861819
ADVANC,2023-04-17 00:00:00,174.7992096,213,215,211,213,4412700,210.7341445,207.3804925,5550920,57.40049331,1.573058027,1.821225408,-0.248167381,18.52143212
ADVANC,2023-04-18 00:00:00,173.9785461,212,214,212,213,2889000,210.8547022,207.5616497,5347170,54.92537736,1.489268674,1.754834062,-0.265565388,18.38475933
ADVANC,2023-04-19 00:00:00,173.9785461,212,214,211,212,4750600,210.9637782,207.7357026,5151275,54.92537736,1.406650022,1.685197254,-0.278547232,17.71053371
ADVANC,2023-04-20 00:00:00,172.3372498,210,212,209,211,4690700,210.8719898,207.8244986,4920055,49.93133245,1.166345949,1.581426993,-0.415081044,16.77134287
ADVANC,2023-04-21 00:00:00,171.5165863,209,211,207,210,4716300,210.693705,207.8705967,4470800,47.60083489,0.885009756,1.442143545,-0.557133789,16.70223275
ADVANC,2023-04-24 00:00:00,170.6959381,208,209,206,209,5808000,210.4371617,207.8756713,4305290,45.32271739,0.574732001,1.268661236,-0.693929236,16.99675856
ADVANC,2023-04-25 00:00:00,170.6959381,208,210,206,207,6072900,210.2050511,207.880547,4261885,45.32271739,0.325087241,1.079946437,-0.754859196,16.74935731
ADVANC,2023-04-26 00:00:00,173.9785461,212,212,208,208,4219100,210.3759986,208.0420941,4187730,55.25661624,0.444880239,0.952933198,-0.508052959,15.58670166
